APPCH:010,A,R23,BALNN,BALNN,K7,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000,-,200,    ,   , , , , , ,B,J,S;
APPCH:020,A,R23,BALNN,CIMTA,K7,P,C,E  A, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,07700,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:030,A,R23,BALNN,FAXIV,K7,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,07000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R23,DILLA,DILLA,K7,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000,-,200,    ,   , , , , , ,B,J,S;
APPCH:020,A,R23,DILLA,LENPY,K7,P,C,E  A, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,07000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:030,A,R23,DILLA,FAXIV,K7,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,07000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R23,ODF,ODF,K7,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R23,ODF,FAXIV,K7,P,C,EY  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,07000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:030,A,R23,ODF,FAXIV,K7,P,C,EE C,R,   ,HF, , , , , ,      ,    ,    ,2250,0070,+,07000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,R,R23, ,FAXIV,K7,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,07000,     ,18000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:015,R,R23, ,JAGEV,K7,P,C,E S , ,010,TF, , , , , ,      ,    ,    ,2250,0039,+,05800,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,R,R23, ,HAKIV,K7,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,2250,0023,+,05100,     ,     , ,   ,    ,   ,RW23,K7,P,G, ,B,J,S;
PRDAT: ,          , ,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R23, ,RW23,K7,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,2250,0064, ,02780,     ,     , ,   ,-341,   , , , , , ,B,J,S;
APPCH:040,R,R23, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,2250,    ,+,03135,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:050,R,R23, ,DILLA,K7,E,A,EY  ,L,010,DF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:060,R,R23, ,DILLA,K7,E,A,EE H,R,   ,HM, , , , , ,      ,    ,    ,2720,0070,+,08000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
RWY:RW05 ,     ,      ,02686, ,    , ,   ;N34543180,W083275334,0000;
RWY:RW23 ,     ,      ,02735, ,    , ,   ;N34551032,W083271452,0000;
