APPCH:010,A,D04-A,MMV1,MMV,FA,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,06700,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D04-A,MMV1,MMV,FA,D, ,V   ,L,   ,PI, ,MMV,FA,D, ,      ,0000,0000,2650,0070,+,05800,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,D04-A,MMV1,FD04,FA,P,C,EE  , ,   ,CF, ,MMV,FA,D, ,      ,2200,0050,0400,0020,+,05800,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,D04-A,MMV2,MMV,FA,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,06700,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D04-A,MMV2,MMV,FA,D, ,VE H,L,   ,HF, , , , , ,      ,    ,    ,0400,0050,+,05800,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,D,D04-A, ,FD04,FA,P,C,E  F, ,   ,IF, ,MMV,FA,D, ,      ,2200,0050,    ,    ,+,05800,     ,     , ,   ,    ,   ,MMV,FA,D, , ,0, ,S;
APPCH:030,D,D04-A, ,MMV,FA,D, ,V  M, ,   ,CF, ,MMV,FA,D, ,      ,0000,0000,0400,0050, ,04386,     ,     , ,   ,-270,   , , , , , ,0, ,S;
APPCH:040,D,D04-A, ,MMV,FA,D, ,V M , ,   ,FA, ,MMV,FA,D, ,      ,0000,0000,0400,    ,+,05550,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,D,D04-A, ,MMV,FA,D, ,VE H,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,06700,     ,     , ,   ,    ,   , , , , , ,0, ,S;
RWY:RW04 ,     ,      ,04172, ,    , ,   ;S25490186,E025322104,0000;
RWY:RW22 ,     ,      ,04148, ,    , ,   ;S25464746,E025332464,0000;
