APPCH:010,A,N33,YEK,YEK,CY,D,B,E   ,R,   ,PI, ,YEK,CY,D,B,      ,0000,0000,116T,0100,+,01200,     ,18000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,N33,YEK,FF33,CY,P,C,EE  , ,   ,CF, ,YEK,CY,D,B,      ,1610,0041,341T,0059,+,01200,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,N,N33, ,FF33,CY,P,C,E  F, ,   ,IF, ,YEK,CY,D,B,      ,    ,    ,    ,    ,+,01200,     ,18000, ,   ,    ,   ,YEK,CY,D,B, ,0, ,S;
APPCH:030,N,N33, ,RW33,CY,P,G,G  M, ,   ,CF, ,YEK,CY,D,B,      ,    ,    ,341T,0035, ,00081,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,N,N33, ,YEK,CY,D,B,EYM , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,00440,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,N,N33, , , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,341T,    ,+,01600,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,N,N33, ,YEK,CY,D,B,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,01600,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:070,N,N33, ,YEK,CY,D,B,EE H,R,   ,HM, , , , , ,      ,    ,    ,341T,T010, ,     ,     ,     ,-,230,    ,   , , , , , ,0, ,S;
APPCH:010,A,R15,REROX,REROX,CY,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000,-,210,    ,   , , , , , ,A,J,S;
APPCH:020,A,R15,REROX,MUTOT,CY,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,01400,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R15,ULOLO,ULOLO,CY,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000,-,210,    ,   , , , , , ,A,J,S;
APPCH:020,A,R15,ULOLO,MUTOT,CY,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,01400,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R15, ,MUTOT,CY,P,C,E  D, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,01400,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R15, ,XUBDA,CY,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,149T,0060,+,01400,     ,     , ,   ,    ,   , , , , , ,A,J,S;
PRDAT:A,       LPV,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R15, ,RW15,CY,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,149T,0041, ,00084,     ,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:040,R,R15, ,PILDO,CY,P,C,EYM , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,01400,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R15, ,PILDO,CY,P,C,EE H,R,010,HM, , , , , ,      ,    ,    ,149T,T010, ,     ,     ,     ,-,230,    ,   , , , , , ,A,J,S;
APPCH:010,A,R33,TAKEG,TAKEG,CY,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000,-,210,    ,   , , , , , ,A,J,S;
APPCH:020,A,R33,TAKEG,ROKPO,CY,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,01400,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R33,VISUD,VISUD,CY,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000,-,210,    ,   , , , , , ,A,J,S;
APPCH:020,A,R33,VISUD,ROKPO,CY,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,01400,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R33, ,ROKPO,CY,P,C,E  D, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,01400,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R33, ,PEMVA,CY,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,329T,0060,+,01400,     ,     , ,   ,    ,   , , , , , ,A,J,S;
PRDAT:A,       LPV,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R33, ,RW33,CY,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,329T,0041, ,00081,     ,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:040,R,R33, ,OLAVU,CY,P,C,EYM , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,01400,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R33, ,OLAVU,CY,P,C,EE H,R,010,HM, , , , , ,      ,    ,    ,329T,T010, ,     ,     ,     ,-,230,    ,   , , , , , ,A,J,S;
RWY:RW15 ,     ,      ,00034, ,    , ,   ;N61055514,W094043874,0000;
RWY:RW33 ,     ,      ,00031, ,    , ,   ;N61052141,W094035673,0000;
