APPCH:010,A,D05,VHA,VHA,FV,D, ,V  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     ,-,230,    ,   , , , , , ,0, ,S;
APPCH:020,A,D05,VHA,CF05,FV,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,07000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,D05,VHA,CF05,FV,P,C,EY  , ,   ,FC, ,VHA,FV,D, ,      ,2340,0150,1890,0048, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:040,A,D05,VHA,CF05,FV,P,C,EE B,R,   ,CF,Y,VHA,FV,D, ,      ,2340,0150,0540,0050,+,07000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,D,D05, ,CF05,FV,P,C,E  I, ,   ,IF, ,VHA,FV,D, ,      ,2340,0150,    ,    ,+,07000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,D,D05, ,FD05,FV,P,C,E  F, ,   ,CF, ,VHA,FV,D, ,      ,2340,0101,0540,0049,+,07000,     ,     , ,   ,    ,   ,VHA,FV,D, , ,0, ,S;
APPCH:030,D,D05, ,RW05,FV,P,G,G  M, ,   ,CF, ,VHA,FV,D, ,      ,2340,0034,0540,0068, ,04850,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,D,D05, ,VHA,FV,D, ,V M , ,   ,CF, ,VHA,FV,D, ,      ,0000,0000,0540,0034, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,D,D05, ,VHA,FV,D, ,V   , ,   ,FD, ,VHA,FV,D, ,      ,0000,0000,0540,0110, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,D,D05, ,VHA,FV,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:070,D,D05, ,CF05,FV,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,08000,     ,     ,-,230,    ,   , , , , , ,0, ,S;
APPCH:080,D,D05, ,CF05,FV,P,C,EE H,R,   ,HM, , , , , ,      ,    ,    ,0540,T010, ,     ,     ,     ,-,230,    ,   , , , , , ,0, ,S;
APPCH:010,A,D23,VHA,VHA,FV,D, ,V  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     ,-,230,    ,   , , , , , ,0, ,S;
APPCH:020,A,D23,VHA,CD23,FV,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,07000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,D23,VHA,CD23,FV,P,C,EY  , ,   ,FC, ,VHA,FV,D, ,      ,0540,0110,0990,0048, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:040,A,D23,VHA,CD23,FV,P,C,EE B,L,   ,CF,Y,VHA,FV,D, ,      ,0540,0110,2340,0050,+,07000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,D,D23, ,CD23,FV,P,C,E  I, ,   ,IF, ,VHA,FV,D, ,      ,0540,0110,    ,    ,+,07000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,D,D23, ,FD23,FV,P,C,E  F, ,   ,CF, ,VHA,FV,D, ,      ,0540,0057,2340,0053,+,07000,     ,     , ,   ,    ,   ,VHA,FV,D, , ,0, ,S;
APPCH:030,D,D23, ,RW23,FV,P,G,G  M, ,   ,CF, ,VHA,FV,D, ,      ,2340,0008,2340,0065, ,04939,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,D,D23, ,RW23,FV,P,G,G M , ,   ,FD, ,VHA,FV,D, ,      ,2340,0008,2340,0144, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,D,D23, ,VHA,FV,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,D,D23, ,CD23,FV,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,08000,     ,     ,-,230,    ,   , , , , , ,0, ,S;
APPCH:070,D,D23, ,CD23,FV,P,C,EE H,L,   ,HM, , , , , ,      ,    ,    ,2340,T010, ,     ,     ,     ,-,230,    ,   , , , , , ,0, ,S;
APPCH:010,A,I05,VHA,VHA,FV,D, ,V  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     ,-,230,    ,   , , , , , ,0,D,S;
APPCH:020,A,I05,VHA,CF05,FV,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,07000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,I05,VHA,CF05,FV,P,C,EY  , ,   ,FC, ,VHA,FV,D, ,      ,2340,0150,1890,0048, ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:040,A,I05,VHA,CF05,FV,P,C,EE B,R,   ,CF,Y,IHA,FV,P,I,      ,2340,0148,0540,0050,+,07000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,I,I05, ,CF05,FV,P,C,E  I, ,   ,IF, ,IHA,FV,P,I,      ,2340,0148,    ,    ,J,07000,07000,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,I,I05, ,FI05,FV,P,C,E  F, ,   ,CF, ,IHA,FV,P,I,      ,2340,0098,0540,0050,H,07000,07000,     , ,   ,-300,   ,VHA,FV,D, , ,0,D,S;
APPCH:030,I,I05, ,RW05,FV,P,G,G  M, ,   ,CF, ,IHA,FV,P,I,      ,2340,0031,0540,0066, ,04850,     ,     , ,   ,-300,   , , , , , ,0,D,S;
