APPCH:010,A,R09,QL2WD,QL2WD,YB,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,11000,-,230,    ,   , , , , , ,B,J,S;
APPCH:020,A,R09,QL2WD,QL2WI,YB,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R09,QL2WE,QL2WE,YB,P,C,E  C, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,11000,-,230,    ,   , , , , , ,B,J,S;
APPCH:020,A,R09,QL2WE,QL2WI,YB,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R09,QL2WG,QL2WG,YB,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,11000,-,230,    ,   , , , , , ,B,J,S;
APPCH:020,A,R09,QL2WG,QL2WI,YB,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,R,R09, ,QL2WI,YB,P,C,E  I, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,11000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,R,R09, ,QL2WF,YB,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,0860,0050,+,02380,     ,     , ,   ,    ,   ,YQLP,YB,P,A, ,B,J,S;
PRDAT: ,          , ,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R09, ,RW09,YB,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,0860,0053, ,00703,     ,     , ,   ,-300,   , , , , , ,B,J,S;
APPCH:040,R,R09, ,QL2WH,YB,P,C,EYM , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:050,R,R09, , , , , , E  ,L,010,VM,Y, , , , ,      ,    ,    ,2750,    ,+,02300,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R27,QL2EA,QL2EA,YB,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,11000,-,230,    ,   , , , , , ,B,J,S;
APPCH:020,A,R27,QL2EA,QL2EI,YB,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R27,QL2EB,QL2EB,YB,P,C,E  C, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,11000,-,230,    ,   , , , , , ,B,J,S;
APPCH:020,A,R27,QL2EB,QL2EI,YB,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R27,QL2EC,QL2EC,YB,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,11000,-,230,    ,   , , , , , ,B,J,S;
APPCH:020,A,R27,QL2EC,QL2EI,YB,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,R,R27, ,QL2EI,YB,P,C,E  I, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,11000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,R,R27, ,QL2EF,YB,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,2660,0050,+,02370,     ,     , ,   ,    ,   ,YQLP,YB,P,A, ,B,J,S;
PRDAT: ,          , ,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R27, ,RW27,YB,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,2660,0053, ,00692,     ,     , ,   ,-300,   , , , , , ,B,J,S;
APPCH:040,R,R27, ,QL2EH,YB,P,C,EYM , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:050,R,R27, , , , , , E  ,L,010,VM,Y, , , , ,      ,    ,    ,0950,    ,+,02300,     ,     , ,   ,    ,   , , , , , ,B,J,S;
RWY:RW09 ,-0200,      ,00653, ,    , ,   ;S26363192,E144150001,0000;
RWY:RW18 ,     ,      ,00641, ,    , ,   ;S26360545,E144152120,0000;
RWY:RW27 ,     ,      ,00642, ,    , ,   ;S26363546,E144155402,0000;
RWY:RW36 ,-0300,      ,00648, ,    , ,   ;S26363923,E144151137,0000;
