APPCH:010,A,I26,EMT,EMT,LF,D,B,EE C,R,   ,HF, , , , , ,      ,    ,    ,2630,T010,+,03000,     ,     ,-,220,    ,   , , , , , ,0,N,S;
APPCH:010,I,I26, ,CF26,LF,P,C,E  I, ,   ,IF, ,MI,LF,P,I,      ,0829,0075,    ,    ,J,03000,03000,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,I,I26, ,OM26,LF,P,C,E  F, ,   ,CF, ,MI,LF,P,I,      ,0830,0058,2630,0017,H,03000,02500,     , ,   ,-300,   ,EMT,LF,D,B, ,0,N,S;
APPCH:030,I,I26, ,RW26,LF,P,G,G  M, ,   ,CF, ,MI,LF,P,I,      ,0831,0015,2630,0044, ,01083,     ,     , ,   ,-300,   , , , , , ,0,N,S;
APPCH:040,I,I26, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,2630,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:050,I,I26, ,EMT,LF,D,B,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,03000,     ,     ,-,200,    ,   , , , , , ,0,N,S;
APPCH:060,I,I26, ,EMT,LF,D,B,EE H,R,   ,HM, , , , , ,      ,    ,    ,2630,T010,+,03000,     ,     ,-,220,    ,   , , , , , ,0,N,S;
APPCH:010,A,N26,EMT,EMT,LF,D,B,EE C,R,   ,HF, , , , , ,      ,    ,    ,2630,T010,+,03000,     ,     ,-,220,    ,   , , , , , ,0, ,S;
APPCH:010,N,N26, ,CF26,LF,P,C,E  I, ,   ,IF, ,EMT,LF,D,B,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,N,N26, ,EMT,LF,D,B,E  F, ,   ,CF, ,EMT,LF,D,B,      ,    ,    ,2630,0017,+,02500,     ,     , ,   ,    ,   ,EMT,LF,D,B, ,0, ,S;
APPCH:030,N,N26, ,MN26,LF,P,C,E  M, ,   ,CF, ,EMT,LF,D,B,      ,    ,    ,2630,0040, ,01205,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,N,N26, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,2630,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,N,N26, ,EMT,LF,D,B,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,03000,     ,     ,-,200,    ,   , , , , , ,0, ,S;
APPCH:060,N,N26, ,EMT,LF,D,B,EE H,R,   ,HM, , , , , ,      ,    ,    ,2630,T010, ,     ,     ,     ,-,220,    ,   , , , , , ,0, ,S;
APPCH:010,A,R26,ISG26,ISG26,LF,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R26,ISG26,EMT,LF,D,B,E  H, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:030,A,R26,ISG26,SG411,LF,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     ,-,220,    ,   , , , , , ,A,J,S;
APPCH:040,A,R26,ISG26,SG403,LF,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,A,R26,ISG26,ISG26,LF,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R26,SG402,SG402,LF,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R26,SG402,ISG26,LF,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R26,SG403,SG403,LF,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R26,SG403,ISG26,LF,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R26, ,ISG26,LF,P,C,E  D, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R26, ,FSG26,LF,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,2630,0050,+,03000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
PRDAT:A,       LPV, ,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R26, ,RW26,LF,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,2630,0060, ,01083,     ,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:040,R,R26, ,SG409,LF,P,C,EYM , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R26, ,SG402,LF,P,C,EE  ,L,010,DF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     ,-,200,    ,   , , , , , ,A,J,S;
RWY:RW08 ,     ,      ,01084, ,    , ,   ;N48192693,E006030655,0000;
RWY:RW26 ,     ,      ,01034, ,MI  ,1,   ;N48193372,E006050468,0853;
