APPCH:010,A,D11,ELV,ELV,FA,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D11,ELV,ELV,FA,D, ,V   ,R,   ,PI, ,ELV,FA,D, ,      ,0000,0000,2440,0100,+,02300,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,D11,ELV,FD11,FA,P,C,EE  , ,   ,CF, ,ELV,FA,D, ,      ,2890,0062,1090,0038,+,02300,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,D,D11, ,FD11,FA,P,C,E  F, ,   ,IF, ,ELV,FA,D, ,      ,2890,0062,    ,    ,+,02300,     ,     , ,   ,    ,   ,ELV,FA,D, ,A,0, ,S;
APPCH:030,D,D11, ,MD11,FA,P,C,E  M, ,   ,CF, ,ELV,FA,D, ,      ,2890,0015,1090,0047, ,00787,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,D,D11, ,ELV,FA,D, ,V M , ,   ,CF, ,ELV,FA,D, ,      ,0000,0000,1090,0015, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:045,D,D11, ,ELV,FA,D, ,V   , ,   ,FD, ,ELV,FA,D, ,      ,0000,0000,1090,0080,+,03000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,D,D11, ,ELV,FA,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,04500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,D,D11, ,ELV,FA,D, ,VE H,R,   ,HM, , , , , ,      ,    ,    ,1090,T010,+,04500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,D29-Y,ELV,ELV,FA,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D29-Y,ELV,ELV,FA,D, ,V   ,L,   ,PI, ,ELV,FA,D, ,      ,0000,0000,1540,0100,+,02000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,D29-Y,ELV,FD29,FA,P,C,EE  , ,   ,CF, ,ELV,FA,D, ,      ,1090,0054,2890,0046,+,02000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,D,D29-Y, ,FD29,FA,P,C,E  F, ,   ,IF, ,ELV,FA,D, ,      ,1090,0054,    ,    ,+,02000,     ,     , ,   ,    ,   ,ELV,FA,D, ,A,0, ,S;
APPCH:030,D,D29-Y, ,MD29,FA,P,C,E  M, ,   ,CF, ,ELV,FA,D, ,      ,1090,0010,2890,0044, ,00604,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,D,D29-Y, ,ELV,FA,D, ,V M , ,   ,CF, ,ELV,FA,D, ,      ,0000,0000,2890,0010, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:045,D,D29-Y, ,ELV,FA,D, ,V   , ,   ,FD, ,ELV,FA,D, ,      ,0000,0000,2890,0065,+,03000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,D,D29-Y, ,ELV,FA,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,04500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,D,D29-Y, ,ELV,FA,D, ,VE H,L,   ,HM, , , , , ,      ,    ,    ,2890,T010, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,D29-Z,ELV,ELV,FA,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D29-Z,ELV,ELV,FA,D, ,V   ,L,   ,PI, ,ELV,FA,D, ,      ,0000,0000,1540,0100,+,02000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,D29-Z,ELV,FD29,FA,P,C,EE  , ,   ,CF, ,ELV,FA,D, ,      ,1090,0054,2890,0046,+,02000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,D,D29-Z, ,FD29,FA,P,C,E  F, ,   ,IF, ,ELV,FA,D, ,      ,1090,0054,    ,    ,+,02000,     ,     , ,   ,    ,   ,ELV,FA,D, ,A,0, ,S;
APPCH:030,D,D29-Z, ,MD29,FA,P,C,E  M, ,   ,CF, ,ELV,FA,D, ,      ,1090,0010,2890,0044, ,00604,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,D,D29-Z, ,ELV,FA,D, ,V M , ,   ,CF, ,ELV,FA,D, ,      ,0000,0000,2890,0010, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:045,D,D29-Z, ,ELV,FA,D, ,V   , ,   ,FD, ,ELV,FA,D, ,      ,0000,0000,2890,0065,+,03000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,D,D29-Z, ,ELV,FA,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,04500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,D,D29-Z, ,ELV,FA,D, ,VE H,L,   ,HM, , , , , ,      ,    ,    ,2890,T010, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,I,I11-Z, ,CI11Z,FA,P,C,E  I, ,   ,IF, ,BSI,FA,P,I,      ,2920,0116,    ,    ,J,03000,02000,     ,-,220,    ,   , , , , , ,0,D,S;
APPCH:020,I,I11-Z, ,FI11Z,FA,P,C,E  F, ,   ,CF, ,BSI,FA,P,I,      ,2920,0060,1120,0057,H,02000,02000,     , ,   ,-300,   ,ELV,FA,D, ,B,0,D,S;
APPCH:030,I,I11-Z, ,RW11,FA,P,G,G  M, ,   ,CF, ,BSI,FA,P,I,      ,2920,0012,1120,0048, ,00487,     ,     , ,   ,-300,   , , , , , ,0,D,S;
APPCH:040,I,I11-Z, ,RW11,FA,P,G,G M , ,   ,FD, ,ELV,FA,D, ,      ,2957,0006,1120,0074,+,04500,     ,     , ,   ,    ,   , , , , , ,0,D,S;
