APPCH:010,A,N28,KL1,KL,VY,D,B,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,13500, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,N28,KL1,KL,VY,D,B,EY  , ,   ,FC, ,KL,VY,D,B,      ,0000,0000,1580,0051, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,N28,KL1,FF28,VY,P,C,EE  ,L,   ,CF,Y,KL,VY,D,B,      ,1010,0051,2810,0010,+,01800,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,N28,KL2,KL,VY,D,B,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,13500, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,N28,KL2,KL,VY,D,B,EY  , ,   ,FC, ,KL,VY,D,B,      ,0000,0000,1260,0051, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,N28,KL2,FF28,VY,P,C,EE  ,L,   ,CF,Y,KL,VY,D,B,      ,1010,0051,2810,0010,+,01800,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,N,N28, ,FF28,VY,P,C,E  F, ,   ,IF, ,KL,VY,D,B,      ,    ,    ,    ,    ,+,01800,     ,13500, ,   ,    ,   ,KL,VY,D,B, ,0, ,S;
APPCH:030,N,N28, ,MA28,VY,P,C,E  M, ,   ,CF, ,KL,VY,D,B,      ,    ,    ,2810,0040, ,00825,     ,     , ,   ,-349,   , , , , , ,0, ,S;
APPCH:040,N,N28, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,2810,    ,+,00940,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,N,N28, , , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,3500,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,N,N28, ,KL,VY,D,B,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,06000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:070,N,N28, ,KL,VY,D,B,EE H,R,   ,HM, , , , , ,      ,    ,    ,1800,T010,+,06000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
RWY:RW10 ,-0550,      ,00439, ,    , ,   ;N23112486,E094021875,0000;
RWY:RW28 ,+0550,      ,00404, ,    , ,   ;N23111635,E094033326,0000;
