APPCH:010,A,NDBA,KLH,KLH,OI,D,B,E  C, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,06500,     ,09000, ,   ,    ,   , , , , , ,0, ,C;
APPCH:020,A,NDBA,KLH,KLH,OI,D,B,EY  , ,   ,FC, ,KLH,OI,D,B,      ,0000,0000,2500,0077, ,     ,     ,     ,-,185,    ,   , , , , , ,0, ,C;
APPCH:030,A,NDBA,KLH,FF088,OI,P,C,EE  ,R,   ,CF,Y,KLH,OI,D,B,      ,2680,0077,0880,0010, ,03600,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:020,N,NDBA, ,FF088,OI,P,C,E  F, ,   ,IF, ,KLH,OI,D,B,      ,    ,    ,    ,    , ,03600,     ,09000, ,   ,    ,   ,KLH,OI,D,B, ,0, ,C;
APPCH:030,N,NDBA, ,KLH,OI,D,B,E  M, ,   ,CF, ,KLH,OI,D,B,      ,    ,    ,0880,0077, ,02630,     ,     , ,   , 000,   , , , , , ,0, ,C;
APPCH:040,N,NDBA, , , , , ,  M ,L,   ,CI,Y, , , , ,      ,    ,    ,2350,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:050,N,NDBA, ,KLH,OI,D,B,E   , ,   ,FA, ,GGN,OI,D, ,      ,0567,0587,2800,    ,+,04500,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:060,N,NDBA, ,KLH,OI,D,B,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,06500,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:070,N,NDBA, ,KLH,OI,D,B,EE H,R,   ,HM, , , , , ,      ,    ,    ,2500,T010,+,06500,     ,     , ,   ,    ,   , , , , , ,0, ,C;
RWY:RW10 ,+0570,      ,00392, ,    , ,   ;N37230895,E055262359,0000;
RWY:RW28 ,+0570,      ,00426, ,    , ,   ;N37225387,E055273499,1312;
