APPCH:010,A,R14,LE004,LE004,SB,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,06600,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R14,LE004,LE003,SB,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,05200,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R14,LE006,LE006,SB,P,C,E  C, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,06600,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R14,LE006,LE003,SB,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,05200,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R14,LE007,LE007,SB,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,06600,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R14,LE007,LE003,SB,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,05200,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,R,R14, ,LE003,SB,P,C,E  I, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,05200,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:013,R,R14, ,LE009,SB,P,C,E S , ,010,TF, , , , , ,      ,    ,    ,1370,0015,+,04726,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:017,R,R14, ,LE008,SB,P,C,E S , ,010,TF, , , , , ,      ,    ,    ,1370,0015,+,04251,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,R,R14, ,LE002,SB,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,1370,0030,+,03310,     ,     , ,   ,-300,   , , , , , ,B,J,S;
PRDAT: ,          ,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R14, ,RW14,SB,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,1370,0050, ,01710,     ,     , ,   ,-300,   , , , , , ,B,J,S;
APPCH:040,R,R14, , , , , ,  M , ,010,VA, , , , , ,      ,    ,    ,1370,    ,+,03500,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:050,R,R14, ,LE006,SB,P,C,EY  ,L,010,DF, , , , , ,      ,    ,    ,    ,    ,+,06600,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:060,R,R14, ,LE006,SB,P,C,EE H,L,010,HM, , , , , ,      ,    ,    ,2070,T010,+,06600,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R32,LE013,LE013,SB,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R32,LE013,LE012,SB,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03600,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R32,LE014,LE014,SB,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R32,LE014,LE012,SB,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03600,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R32,LE016,LE016,SB,P,C,E  C, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R32,LE016,LE012,SB,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03600,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,R,R32, ,LE012,SB,P,C,E  I, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,03600,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,R,R32, ,LE011,SB,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,3170,0050,+,03240,     ,     , ,   ,    ,   , , , , , ,B,J,S;
PRDAT: ,          ,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R32, ,RW32,SB,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,3170,0050, ,01643,     ,     , ,   ,-300,   , , , , , ,B,J,S;
APPCH:040,R,R32, , , , , ,  M , ,010,VA, , , , , ,      ,    ,    ,3270,    ,+,02700,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:050,R,R32, ,LE016,SB,P,C,EY  ,R,010,DF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     ,-,210,    ,   , , , , , ,B,J,S;
APPCH:060,R,R32, ,LE016,SB,P,C,EE H,R,010,HM, , , , , ,      ,    ,    ,2270,T010,+,05000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
RWY:RW14 ,     ,      ,01660, ,    , ,   ;S12284233,W041170828,0000;
RWY:RW32 ,     ,      ,01593, ,    , ,   ;S12290975,W041160575,0000;
