APPCH:010,A,L25,NEBIY,NEBIY,K5,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,A,L25,NEBIY,ZIFFL,K5,P,C,EE B, ,   ,CF, ,IFFT,K5,P,I,      ,0689,0121,2490,0073,+,03000,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,L,L25, ,ZIFFL,K5,P,C,E  I, ,   ,IF, ,IFFT,K5,P,I,      ,0689,0121,    ,    ,+,03000,     ,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,L,L25, ,LAYIV,K5,P,C,E  F, ,   ,CF, ,IFFT,K5,P,I,      ,0689,0060,2490,0061,+,02400,     ,     , ,   ,    ,   ,FFT,K5,D, , ,0,N,S;
APPCH:030,L,L25, ,RW25,K5,P,G,G  M, ,   ,CF, ,IFFT,K5,P,I,      ,0689,0011,2490,0049, ,00828,     ,     , ,   ,-300,   , , , , , ,0,N,S;
APPCH:040,L,L25, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,2490,    ,+,03100,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:050,L,L25, ,HYK,K5,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:060,L,L25, ,HYK,K5,D, ,VE H,R,   ,HM, , , , , ,      ,    ,    ,3040,T010, ,     ,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,A,R07,DEXLO,DEXLO,K5,P,C,EE C,R,   ,HF, , , , , ,      ,    ,    ,0690,0040,+,03000,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R07, ,DEXLO,K5,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R07, ,ACETO,K5,P,C,E  F, ,   ,TF, , , , , ,      ,    ,    ,0690,0070,+,02400,     ,     , ,   ,    ,   , , , , , ,A,J,S;
PRDAT:A,       LPV,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:025,R,R07, ,JAPOL,K5,P,C,E S , ,   ,TF, , , , , ,      ,    ,    ,0690,0024,+,01620,     ,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:030,R,R07, ,RW07,K5,P,G,GY M, ,   ,TF, , , , , ,      ,    ,    ,0690,0024, ,00857,     ,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:040,R,R07, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,0690,    ,+,01087,     ,     , ,   ,    ,   , , , , , ,A,J,S;
